     3000.2 FCI    1    1
    59    0    0    0    0    0    0    0
     4    0    0    0    0    0    0    0
     1    0    0    0    0    0    0    0
     2    0    0    0    0    0    0    0
    0.600000000000000D+01,
    0.000000000000000D+00,    0.000000000000000D+00,    0.000000000000000D+00,
 DENSITY      CHARGE           1    0    1    6    2
    0.200065739988416D+01,   -0.348991298376126D-02,    0.199145437449567D+01,
    0.158702790580694D-02,    0.912181952620283D-02,    0.872321583413846D-02,
    0.397529524769782D-02,   -0.693444339286947D-01,   -0.661160579075612D-02,
    0.300312841982037D-01,   -0.295339078779483D-02,    0.287145008166608D-03,
   -0.642676970744046D-03,    0.531390082047615D-03,    0.246755655154425D-02,
   -0.282987810356849D-02,    0.448703218633030D-03,   -0.343686077107575D-03,
   -0.276056503694746D-03,    0.909128807733474D-03,    0.889217639033396D-03,
   -0.235357630815785D-02,    0.171401131300018D-01,   -0.716615136883586D-06,
    0.166292534832129D-02,   -0.358133443979255D-04,   -0.408276154346281D-04,
    0.463476933120438D-03,   -0.263992617686278D-15,   -0.724382893627872D-15,
    0.293445134471163D-15,    0.820608520760190D-15,   -0.329451399075928D-15,
    0.214529150051452D-15,   -0.482447394854388D-15,    0.104036153572031D+01,
    0.244090211950386D-15,   -0.768517018869539D-15,    0.165594913231782D-15,
    0.427975628933760D-15,   -0.228078880643207D-15,   -0.137323132949013D-15,
   -0.308331044517422D-15,    0.900804389852849D-05,    0.103988954813215D+01,
    0.530238997158431D-17,    0.338503910858926D-16,   -0.647387450317542D-17,
   -0.460473308086603D-16,    0.569592446186055D-17,    0.377141777505187D-17,
    0.290003402348614D-16,    0.410825391576480D-03,   -0.215335417269063D-01,
    0.582921499816324D-01,    0.106099455195425D-15,    0.921640371508287D-16,
    0.264379172068568D-17,   -0.592363971343162D-17,    0.161795409203699D-17,
   -0.259362291738533D-17,   -0.158596828961010D-17,   -0.176180841238828D-01,
   -0.204947854703756D-06,   -0.870828161151117D-05,    0.766403424691369D-02,
   -0.295751053501583D-16,    0.917583102494844D-16,   -0.194875009345935D-18,
    0.189801303332753D-16,   -0.208177702228802D-18,    0.270351267217531D-18,
    0.531212857544197D-17,   -0.176953283605868D-06,   -0.176080790322708D-01,
    0.456463403778893D-03,    0.538466971514856D-07,    0.766121288269461D-02,
   -0.620227583439743D-17,    0.288915932023546D-16,    0.215236031871796D-17,
    0.920603295625411D-17,   -0.195618474653955D-18,   -0.321504575928936D-18,
    0.462519780455746D-17,   -0.870889540568178D-05,    0.456463390661272D-03,
    0.319961205063861D-02,    0.245575963446098D-05,   -0.128719411206869D-03,
    0.179359289892287D-02,    0.656832902661941D-16,    0.201672666697430D-17,
   -0.879243031942098D-17,   -0.652458153596823D-17,    0.785881330931416D-17,
   -0.632877880392929D-17,    0.202860111196255D-17,   -0.390451804594486D-01,
   -0.200511148592316D-06,   -0.104500305158606D-04,    0.815827502291252D-02,
    0.758806069879256D-07,    0.351041958523613D-05,    0.159113938250160D-01,
   -0.756381964342263D-17,    0.661598716753747D-16,   -0.221459576050490D-17,
   -0.121322884435462D-16,    0.402614177855077D-17,    0.276006896929057D-17,
    0.624370315394105D-17,   -0.257730650108593D-06,   -0.390331753868937D-01,
    0.547708733502636D-03,    0.780621577422050D-07,    0.815424201224806D-02,
   -0.183998489195060D-03,    0.111603797613402D-06,    0.159055462061845D-01,
   -0.229153878882302D-17,   -0.245777491020468D-17,    0.651028393183964D-19,
    0.104169984363511D-16,   -0.247609897616556D-18,   -0.232264560597203D-18,
   -0.509977724163810D-17,   -0.104487759278984D-04,    0.547708759654923D-03,
   -0.140661036463081D-01,    0.351037176751201D-05,   -0.183998490934499D-03,
   -0.233251397400065D-03,    0.508985905054273D-05,   -0.266786558204965D-03,
    0.374419371830189D-02,    0.243086591499699D-17,    0.689618108505403D-16,
    0.280958485656363D-18,   -0.136730960353654D-17,    0.558273150871403D-20,
   -0.203142711515972D-18,    0.588790953774734D-18,   -0.633660965695218D-03,
    0.600143421768020D-08,    0.304070563776917D-06,    0.213142613934000D-03,
    0.166224891726403D-08,    0.752099687549059D-07,    0.589010486796357D-03,
    0.191262398520063D-08,    0.839267232415907D-07,    0.273587007243256D-03,
   -0.858348815782074D-17,    0.296434325017797D-16,   -0.275650681147230D-18,
    0.106122180015040D-19,    0.362169041038574D-19,   -0.128451886061861D-18,
    0.359406630502002D-18,    0.733245566721845D-08,   -0.634010288424822D-03,
   -0.159371888831256D-04,    0.163597600258405D-08,    0.213056206649401D-03,
   -0.394216929267351D-05,    0.176791712181192D-08,    0.588914063546204D-03,
   -0.439912867885238D-05,    0.375849316663252D-09,    0.273567314154044D-03,
    0.333475602541887D-17,   -0.350004484949006D-17,    0.292336414548217D-18,
    0.118276079702966D-17,   -0.480943322054050D-19,   -0.248376089202608D-19,
   -0.394864637220518D-18,    0.304041382896763D-06,   -0.159371897051857D-04,
   -0.136050031489658D-02,    0.752105405788322D-07,   -0.394216885592772D-05,
    0.333540944872511D-04,    0.839298948792415D-07,   -0.439912856402611D-05,
    0.388381642480791D-03,    0.171411730533186D-07,   -0.898459965659574D-06,
    0.232611396851693D-03,    0.930520884688389D-17,   -0.108257449358116D-17,
    0.239040010463453D-19,   -0.941400594831644D-18,    0.472531743079879D-19,
   -0.670088694506310D-19,   -0.991872998434251D-19,   -0.134566659100450D-03,
   -0.395909220946150D-09,   -0.170715843739226D-07,    0.680447260441780D-04,
    0.182996417355479D-09,    0.831679680875257D-08,    0.607233650495035D-04,
    0.279166910188327D-09,    0.125201175340425D-07,    0.994589991411533D-04,
    0.319599683810675D-10,    0.143564269019491D-08,    0.119528473241178D-03,
    0.170949607959185D-17,    0.564310329486969D-17,    0.449434502968003D-20,
   -0.200485302823626D-18,    0.369201880965609D-19,   -0.604545164258455D-19,
    0.530442676734593D-19,   -0.352758293700266D-09,   -0.134547045418699D-03,
    0.894837338310666D-06,    0.181723916623116D-09,    0.680351710579282D-04,
   -0.435928305209861D-06,    0.269887184338513D-09,    0.607089808656993D-04,
   -0.656251242852593D-06,    0.309982867423672D-10,    0.994573497533919D-04,
   -0.752502559948985D-07,    0.829229890963984D-11,    0.119528038755935D-03,
    0.446106809113112D-18,   -0.238413132457059D-18,    0.114871830562365D-19,
   -0.182616431911223D-20,   -0.143106245498846D-19,    0.234208220905242D-20,
   -0.266122059635526D-20,   -0.170725279275385D-07,    0.894837006710411D-06,
   -0.937562708347626D-04,    0.831682269653711D-08,   -0.435928077271963D-06,
    0.481635686451998D-04,    0.125203204088110D-07,   -0.656251163848173D-06,
    0.307940470958287D-04,    0.143566318348648D-08,   -0.752501421050509D-07,
    0.960271012560224D-04,    0.378182764149462D-09,   -0.198225681158169D-07,
    0.118624435366321D-03,   -0.323186867378365D-16,    0.158563816918134D-16,
    0.602979755739215D-17,    0.152477696184350D-16,   -0.613947820722435D-17,
    0.379629375669055D-17,   -0.878746107153101D-17,    0.182313319778410D-01,
    0.151830814707942D-06,    0.769755533645082D-05,    0.959997263999445D-06,
    0.919468719674447D-09,    0.269837045819541D-07,    0.125718286466272D-03,
    0.117476129322096D-08,    0.507188848441464D-07,    0.873267611212645D-05,
    0.127940332875504D-09,    0.498974123740413D-08,    0.139758709616130D-05,
    0.755989330879653D-11,    0.326098903621930D-09,    0.385550194073954D-03,
    0.302313990541848D-17,    0.893255374934995D-17,    0.306241001857401D-17,
    0.108841046649815D-16,   -0.430784893781134D-17,   -0.261240773761680D-17,
   -0.495634129076515D-17,    0.185716827042248D-06,    0.182224888651412D-01,
